Overall Rank,Name,Position,Team,Bye,Position Rank,Tier,OverallTier
1,Christian McCaffrey,RB,SF,9,1,1,1
2,Tyreek Hill,WR,MIA,6,1,1,1
3,CeeDee Lamb,WR,DAL,7,2,1,1
4,Justin Jefferson,WR,MIN,6,3,1,1
5,Ja'Marr Chase,WR,CIN,12,4,1,1
6,Bijan Robinson,RB,ATL,12,2,1,1
7,Amon-Ra St. Brown,WR,DET,5,5,1,1
8,Breece Hall,RB,NYJ,12,3,1,1
9,A.J. Brown,WR,PHI,5,6,1,1
10,Garrett Wilson,WR,NYJ,12,7,1,1
11,Saquon Barkley,RB,PHI,5,4,1,2
12,Jahmyr Gibbs,RB,DET,5,5,1,2
13,Jonathan Taylor,RB,IND,14,6,1,2
14,Marvin Harrison,WR,ARI,11,8,1,2
15,Kyren Williams,RB,LAR,6,7,1,2
16,Puka Nacua,WR,LAR,6,9,1,2
17,Davante Adams,WR,LV,10,10,1,2
18,Travis Etienne,RB,JAX,12,8,1,2
19,Drake London,WR,ATL,12,11,2,2
20,Derrick Henry,RB,BAL,14,9,1,2
21,Travis Kelce,TE,KC,6,1,1,3
22,Josh Allen,QB,BUF,12,1,1,3
23,Chris Olave,WR,NO,12,12,2,3
24,Sam LaPorta,TE,DET,5,2,1,3
25,De'Von Achane,RB,MIA,6,10,1,3
26,Brandon Aiyuk,WR,SF,9,13,2,3
27,Josh Jacobs,RB,GB,10,11,2,3
28,Isiah Pacheco,RB,KC,6,12,2,3
29,Mike Evans,WR,TB,11,14,2,3
30,Patrick Mahomes,QB,KC,6,2,1,3
31,Nico Collins,WR,HOU,14,15,2,4
32,Stefon Diggs,WR,HOU,14,16,2,4
33,Deebo Samuel,WR,SF,9,17,2,4
34,Lamar Jackson,QB,BAL,14,3,1,4
35,Jalen Hurts,QB,PHI,5,4,1,4
36,Jaylen Waddle,WR,MIA,6,18,2,4
37,DJ Moore,WR,CHI,7,19,2,4
38,Rachaad White,RB,TB,11,13,2,4
39,Cooper Kupp,WR,LAR,6,20,2,4
40,Michael Pittman,WR,IND,14,21,3,4
41,James Cook,RB,BUF,12,14,2,5
42,C.J. Stroud,QB,HOU,14,5,1,5
43,DK Metcalf,WR,SEA,10,22,3,5
44,Malik Nabers,WR,NYG,11,23,3,5
45,Mark Andrews,TE,BAL,14,3,1,5
46,Trey McBride,TE,ARI,11,4,1,5
47,Joe Mixon,RB,HOU,14,15,2,5
48,Alvin Kamara,RB,NO,12,16,2,5
49,DeVonta Smith,WR,PHI,5,24,3,5
50,Kenneth Walker,RB,SEA,10,17,2,5
51,Dalton Kincaid,TE,BUF,12,5,1,6
52,Zay Flowers,WR,BAL,14,25,3,6
53,George Kittle,TE,SF,9,6,1,6
54,Tank Dell,WR,HOU,14,26,3,6
55,Kyle Pitts,TE,ATL,12,7,1,6
56,Anthony Richardson,QB,IND,14,6,1,6
57,George Pickens,WR,PIT,9,27,3,6
58,Aaron Jones,RB,MIN,6,18,2,6
59,Amari Cooper,WR,CLE,10,28,3,6
60,Tee Higgins,WR,CIN,12,29,3,6
61,Joe Burrow,QB,CIN,12,7,1,7
62,D'Andre Swift,RB,CHI,7,19,2,7
63,James Conner,RB,ARI,11,20,2,7
64,Keenan Allen,WR,CHI,7,30,3,7
65,David Montgomery,RB,DET,5,21,3,7
66,Christian Kirk,WR,JAX,12,31,4,7
67,Evan Engram,TE,JAX,12,8,1,7
68,Terry McLaurin,WR,WAS,14,32,4,7
69,Rhamondre Stevenson,RB,NE,14,22,3,7
70,Rashee Rice,WR,KC,6,33,4,7
71,Dak Prescott,QB,DAL,7,8,1,8
72,Rome Odunze,WR,CHI,7,34,4,8
73,Najee Harris,RB,PIT,9,23,3,8
74,Jayden Reed,WR,GB,10,35,4,8
75,Chris Godwin,WR,TB,11,36,4,8
76,Xavier Worthy,WR,KC,6,37,4,8
77,Tony Pollard,RB,TEN,5,24,3,8
78,Kyler Murray,QB,ARI,11,9,1,8
79,Brock Bowers,TE,LV,10,9,1,8
80,Jordan Love,QB,GB,10,10,1,8
81,Raheem Mostert,RB,MIA,6,25,3,9
82,Zamir White,RB,LV,10,26,3,9
83,Calvin Ridley,WR,TEN,5,38,4,9
84,David Njoku,TE,CLE,10,10,1,9
85,Jordan Addison,WR,MIN,6,39,4,9
86,Jake Ferguson,TE,DAL,7,11,2,9
87,Nick Chubb,RB,CLE,10,27,3,9
88,Ladd McConkey,WR,LAC,5,40,4,9
89,Hollywood Brown,WR,KC,6,41,5,9
90,Brock Purdy,QB,SF,9,11,2,9
91,Javonte Williams,RB,DEN,14,28,3,10
92,Zack Moss,RB,CIN,12,29,3,10
93,Austin Ekeler,RB,WAS,14,30,3,10
94,Keon Coleman,WR,BUF,12,42,5,10
95,Diontae Johnson,WR,CAR,11,43,5,10
96,DeAndre Hopkins,WR,TEN,5,44,5,10
97,Jonathon Brooks,RB,CAR,11,31,4,10
98,Jaylen Warren,RB,PIT,9,32,4,10
99,Devin Singletary,RB,NYG,11,33,4,10
100,Jaxon Smith-Njigba,WR,SEA,10,45,5,10
101,Caleb Williams,QB,CHI,7,12,2,11
102,Dallas Goedert,TE,PHI,5,12,2,11
103,Christian Watson,WR,GB,10,46,5,11
104,Tua Tagovailoa,QB,MIA,6,13,2,11
105,Brian Thomas,WR,JAX,12,47,5,11
106,Dalton Schultz,TE,HOU,14,13,2,11
107,Tyjae Spears,RB,TEN,5,34,4,11
108,Brian Robinson,RB,WAS,14,35,4,11
109,Jared Goff,QB,DET,5,14,2,11
110,T.J. Hockenson,TE,MIN,6,14,2,11
111,Jameson Williams,WR,DET,5,48,5,12
112,Trey Benson,RB,ARI,11,36,4,12
113,Gus Edwards,RB,LAC,5,37,4,12
114,Ezekiel Elliott,RB,DAL,7,38,4,12
115,Jayden Daniels,QB,WAS,14,15,2,12
116,Courtland Sutton,WR,DEN,14,49,5,12
117,Curtis Samuel,WR,BUF,12,50,5,12
118,Chase Brown,RB,CIN,12,39,4,12
119,Romeo Doubs,WR,GB,10,51,6,12
120,Blake Corum,RB,LAR,6,40,4,12
121,Cole Kmet,TE,CHI,7,15,2,13
122,Jerome Ford,RB,CLE,10,41,5,13
123,Tyler Lockett,WR,SEA,10,52,6,13
124,Justin Herbert,QB,LAC,5,16,2,13
125,Trevor Lawrence,QB,JAX,12,17,2,13
126,Pat Freiermuth,TE,PIT,9,16,2,13
127,Justin Tucker,K,BAL,14,,1,13
128,Harrison Butker,K,KC,6,,1,13
129,Brandon Aubrey,K,DAL,7,,1,13
130,Evan McPherson,K,CIN,12,,1,13
131,Khalil Shakir,WR,BUF,12,53,6,14
132,Younghoe Koo,K,ATL,12,,1,14
133,Adonai Mitchell,WR,IND,14,54,6,14
134,Jakobi Meyers,WR,LV,10,55,6,14
135,Aaron Rodgers,QB,NYJ,12,18,2,14
136,Jerry Jeudy,WR,CLE,10,56,6,14
137,Zach Charbonnet,RB,SEA,10,42,5,14
