Overall Rank,Name,Position,Team,Bye,Position Rank,Tier,OverallTier
1,Christian McCaffrey,RB,SF,9,1,1,1
2,CeeDee Lamb,WR,DAL,7,1,1,1
3,Tyreek Hill,WR,MIA,6,2,1,1
4,Ja'Marr Chase,WR,CIN,12,3,1,1
5,Breece Hall,RB,NYJ,12,2,1,1
6,Bijan Robinson,RB,ATL,12,3,1,1
7,Justin Jefferson,WR,MIN,6,4,1,1
8,Amon-Ra St. Brown,WR,DET,5,5,1,1
9,A.J. Brown,WR,PHI,5,6,1,2
10,Garrett Wilson,WR,NYJ,12,7,1,2
11,Jonathan Taylor,RB,IND,14,4,1,2
12,Puka Nacua,WR,LAR,6,8,1,2
13,Jahmyr Gibbs,RB,DET,5,5,1,2
14,Saquon Barkley,RB,PHI,5,6,1,2
15,Kyren Williams,RB,LAR,6,7,1,2
16,Deebo Samuel,WR,SF,9,9,2,2
17,Brandon Aiyuk,WR,SF,9,10,2,2
18,Marvin Harrison,WR,ARI,11,11,2,2
19,Chris Olave,WR,NO,12,12,2,3
20,Josh Allen,QB,BUF,12,1,1,3
21,Drake London,WR,ATL,12,13,2,3
22,Nico Collins,WR,HOU,14,14,2,3
23,DK Metcalf,WR,SEA,10,15,2,3
24,Mike Evans,WR,TB,11,16,2,3
25,Jalen Hurts,QB,PHI,5,2,1,3
26,Travis Etienne,RB,JAC,12,8,2,3
27,Isiah Pacheco,RB,KC,6,9,2,3
28,De'Von Achane,RB,MIA,6,10,2,3
29,Derrick Henry,RB,BAL,14,11,2,4
30,Davante Adams,WR,LV,10,17,2,4
31,Patrick Mahomes,QB,KC,6,3,1,4
32,Travis Kelce,TE,KC,6,1,1,4
33,Sam LaPorta,TE,DET,5,2,1,4
34,Cooper Kupp,WR,LAR,6,18,3,4
35,Jaylen Waddle,WR,MIA,6,19,3,4
36,Lamar Jackson,QB,BAL,14,4,1,4
37,DJ Moore,WR,CHI,7,20,3,4
38,Amari Cooper,WR,CLE,10,21,3,4
39,DeVonta Smith,WR,PHI,5,22,3,4
40,Josh Jacobs,RB,GB,10,12,2,4
41,Joe Mixon,RB,HOU,14,13,2,4
42,James Cook,RB,BUF,12,14,2,4
43,Tee Higgins,WR,CIN,12,23,3,4
44,Malik Nabers,WR,NYG,11,24,3,4
45,Rachaad White,RB,TB,11,15,2,5
46,George Pickens,WR,PIT,9,25,4,5
47,Anthony Richardson,QB,IND,14,5,1,5
48,Kyler Murray,QB,ARI,11,6,1,5
49,Michael Pittman,WR,IND,14,26,4,5
50,Mark Andrews,TE,BAL,14,3,1,5
51,Tank Dell,WR,HOU,14,27,4,5
52,Rashee Rice,WR,KC,6,28,4,5
53,Stefon Diggs,WR,HOU,14,29,4,5
54,Kenneth Walker,RB,SEA,10,16,3,5
55,David Montgomery,RB,DET,5,17,3,5
56,Joe Burrow,QB,CIN,12,7,1,5
57,Zay Flowers,WR,BAL,14,30,4,5
58,Trey McBride,TE,ARI,11,4,1,5
59,C.J. Stroud,QB,HOU,14,8,2,5
60,Dak Prescott,QB,DAL,7,9,2,5
61,Alvin Kamara,RB,NO,12,18,3,6
62,James Conner,RB,ARI,11,19,3,6
63,Aaron Jones,RB,MIN,6,20,3,6
64,Rhamondre Stevenson,RB,NE,14,21,3,6
